content,processed_content,class
"On the 25th of February 1938, the Wilpattu National Park was declared the second National Park in Sri Lanka under the provisions of the Fauna and Flora Protection Ordinance, No. 2 of 1937; a landmark in the history of Wildlife Conservation in this country.",on the th of february  the wilpattu national park was declared the second national park in sri lanka under the provisions of the fauna and flora protection ordinance no  of  a landmark in the history of wildlife conservation in this country,Opinion
The Finance Ministry this week invited Expressions of Interest (EOIs) from consultancy firms to conduct a needs assessment to initiate a Trade National Single Window (TNSW) system to interconnect several government agencies engaged in international trade proceedings.,the finance ministry this week invited expressions of interest eois from consultancy firms to conduct a needs assessment to initiate a trade national single window tnsw system to interconnect several government agencies engaged in international trade proceedings,Business
"The Center for Poverty Analysis (CEPA) is set to host a high-level symposium on February 27th at the Hilton, Colombo, to present key findings from its comprehensive 5000-household poverty study conducted in 2023. The study, partially funded by the Asian Development Bank (ADB), assesses the impact of Sri Lanka’s economic crises on poverty incidence and evaluates the effectiveness of social protection programmes.",the center for poverty analysis cepa is set to host a highlevel symposium on february th at the hilton colombo to present key findings from its comprehensive household poverty study conducted in  the study partially funded by the asian development bank adb assesses the impact of sri lankas economic crises on poverty incidence and evaluates the effectiveness of social protection programmes,Business
The secondary market yield curve commenced the week with limited activity and thin trading volumes.,the secondary market yield curve commenced the week with limited activity and thin trading volumes,Business
"Access Logistics Park Ekala (Pvt.) Ltd, a wholly-owned subsidiary of Sri Lanka’s Access Engineering PLC, has signed a power purchase agreement with state-run Ceylon Electricity Board, for a 9.08-megawatt (MW) solar photovoltaic installation.",access logistics park ekala pvt ltd a whollyowned subsidiary of sri lankas access engineering plc has signed a power purchase agreement with staterun ceylon electricity board for a megawatt mw solar photovoltaic installation,Business
Sri Lankans were able to catch a glimpse of a real-life crime thriller following the attack on a notorious underworld figure alias ‘Ganemulla Sanjeewa’ on Wednesday (February 19) morning at the Hulftsdorp Court Complex.,sri lankans were able to catch a glimpse of a reallife crime thriller following the attack on a notorious underworld figure alias ganemulla sanjeewa on wednesday february  morning at the hulftsdorp court complex,Opinion
CBL Group has entered the Kenyan market by establishing a distribution hub as part of its strategic move to strengthen exports and establish a foothold in East Africa. This expansion aligns with the company’s long-term growth strategy to extend its global reach and cater to new consumer segments.,cbl group has entered the kenyan market by establishing a distribution hub as part of its strategic move to strengthen exports and establish a foothold in east africa this expansion aligns with the companys longterm growth strategy to extend its global reach and cater to new consumer segments,Business
"Taiwan has detected 24 Chinese military aircraft near the island as a Canadian warship passed through the sensitive Taiwan Strait, Taiwan’s Ministry of National Defence says.",taiwan has detected  chinese military aircraft near the island as a canadian warship passed through the sensitive taiwan strait taiwans ministry of national defence says,World_news
"Lightening has struck the Colombo 7 official residence of the head of a very important establishment, they say",lightening has struck the colombo  official residence of the head of a very important establishment they say,Political_gossip
"A bizarre situation has arisen in the country where Opposition parties fear to speak about the past while the ruling National People’s Power (NPP) fears to speak about the present. This is clearly evident during the talk-shows telecast in various television channels. The politicians of the Opposition parties during these talk-shows are very fond of discussing the current issues on the rice prices, coconut shortage and the island-wide power outag",a bizarre situation has arisen in the country where opposition parties fear to speak about the past while the ruling national peoples power npp fears to speak about the present this is clearly evident during the talkshows telecast in various television channels the politicians of the opposition parties during these talkshows are very fond of discussing the current issues on the rice prices coconut shortage and the islandwide power outag,Opinion
